Participant_ID,Demographics_age,Demographics_class,Demographics_enroll,Demographics_college,Demographics_sex,Demographics_gender,Demographics_sexual,Demographics_ethnic,Demographics_polit,Demographics_policli,Demographics_lean,Demographics_relig,Demographics_rlgsty,Demographics_lang,Demographics_commute,Demographics_work,PWS_1,PWS_2,PWS_3,PWS_4,PWS_5,PWS_6,PWS_7,PWS_8,PWS_9,PWS_10,PWS_11,PWS_12,PWS_13,PWS_14,PWS_15,PWS_16,PWS_17,PWS_18,PWS_19,PWS_20,PWS_21,PWS_22,PWS_23,PWS_24,PWS_25,PWS_26,PWS_27,PWS_28,PWS_29,PWS_30,PWS_31,PWS_32,PWS_33,PWS_34,PWS_35,PWS_36,Psychological Wellness,Physical Wellness,Emotional Wellness,Spiritual Wellness,Social Wellness,Intellectual Wellness,PWB_1,PWB_2,PWB_3,PWB_4,PWB_5,PWB_6,PWB_7,PWB_8,PWB_9,PWB_10,PWB_11,PWB_12,PWB_13,PWB_14,PWB_15,PWB_16,PWB_17,PWB_18,Autonomy,Environmental Mastery,Personal Growth,Positive Relationships,Purpose in Life,Self-Acceptance,CD_RISC_1,CD_RISC_10,CD_RISC_11,CD_RISC_12,CD_RISC_13,CD_RISC_14,CD_RISC_15,CD_RISC_16,CD_RISC_17,CD_RISC_18,CD_RISC_19,CD_RISC_2,CD_RISC_20,CD_RISC_21,CD_RISC_22,CD_RISC_23,CD_RISC_24,CD_RISC_25,CD_RISC_3,CD_RISC_4,CD_RISC_5,CD_RISC_6,CD_RISC_7,CD_RISC_8,CD_RISC_9,Resilience,PERMAB1_1,PERMAB1_2,PERMAB1_3,PERMAB1_4,PERMAB1_5,PERMAB2_1,PERMAB3_1,PERMAB3_2,PERMAB3_3,PERMAB3_4,PERMAB3_5,PERMAB4_1,PERMAB5_1,PERMAB5_2,PERMAB5_3,PERMAB5_4,PERMAB5_5,PERMAB6_1,PERMAB7_1,PERMAB7_2,PERMAB7_3,PERMAB7_4,PERMAB8_1,Positive Emotion,Engagement,Relationships,Meaning,Accomplishment,Negative Emotion,PERMA Loneliness,Happiness (1 item),Health,Overall Well-Being,UCLA_1,UCLA_2,UCLA_3,UCLA_4,UCLA_5,UCLA_6,UCLA_7,UCLA_8,UCLA_9,UCLA_10,UCLA_11,UCLA_12,UCLA_13,UCLA_14,UCLA_15,UCLA_16,UCLA_17,UCLA_18,UCLA_19,UCLA_20,Loneliness,PSS_1,PSS_2,PSS_3,PSS_4,PSS_6,Screen_total,Screen_work,Screen_leisure,Screen_reduction,Screen_active,Screen_passive,PWS_1,PWS_2,PWS_3,PWS_4,PWS_5,PWS_6,PWS_7,PWS_8,PWS_9,PWS_10,PWS_11,PWS_12,PWS_13,PWS_14,PWS_15,PWS_16,PWS_17,PWS_18,PWS_19,PWS_20,PWS_21,PWS_22,PWS_23,PWS_24,PWS_25,PWS_26,PWS_27,PWS_28,PWS_29,PWS_30,PWS_31,PWS_32,PWS_33,PWS_34,PWS_35,PWS_36,Psychological Wellness,Physical Wellness,Emotional Wellness,Spiritual Wellness,Social Wellness,Intellectual Wellness,PWB_1,PWB_2,PWB_3,PWB_4,PWB_5,PWB_6,PWB_7,PWB_8,PWB_9,PWB_10,PWB_11,PWB_12,PWB_13,PWB_14,PWB_15,PWB_16,PWB_17,PWB_18,Autonomy,Environmental Mastery,Personal Growth,Positive Relationships,Purpose in Life,Self-Acceptance,CD_RISC_1,CD_RISC_10,CD_RISC_11,CD_RISC_12,CD_RISC_13,CD_RISC_14,CD_RISC_15,CD_RISC_16,CD_RISC_17,CD_RISC_18,CD_RISC_19,CD_RISC_2,CD_RISC_20,CD_RISC_21,CD_RISC_22,CD_RISC_23,CD_RISC_24,CD_RISC_25,CD_RISC_3,CD_RISC_4,CD_RISC_5,CD_RISC_6,CD_RISC_7,CD_RISC_8,CD_RISC_9,Resilience,PERMAB1_1,PERMAB1_2,PERMAB1_3,PERMAB1_4,PERMAB1_5,PERMAB2_1,PERMAB3_1,PERMAB3_2,PERMAB3_3,PERMAB3_4,PERMAB3_5,PERMAB4_1,PERMAB5_1,PERMAB5_2,PERMAB5_3,PERMAB5_4,PERMAB5_5,PERMAB6_1,PERMAB7_1,PERMAB7_2,PERMAB7_3,PERMAB7_4,PERMAB8_1,Positive Emotion,Engagement,Relationships,Meaning,Accomplishment,Negative Emotion,PERMA Loneliness,Happiness (1 item),Health,Overall Well-Being,UCLA_1,UCLA_2,UCLA_3,UCLA_4,UCLA_5,UCLA_6,UCLA_7,UCLA_8,UCLA_9,UCLA_10,UCLA_11,UCLA_12,UCLA_13,UCLA_14,UCLA_15,UCLA_16,UCLA_17,UCLA_18,UCLA_19,UCLA_20,Loneliness,PSS_1,PSS_2,PSS_3,PSS_4,PSS_6,Screen_total,Screen_work,Screen_leisure,Screen_reduction,Screen_active,Screen_passive,Psychological Wellness,Physical Wellness,Emotional Wellness,Spiritual Wellness,Social Wellness,Intellectual Wellness,Autonomy,Environmental Mastery,Personal Growth,Positive Relationships,Purpose in Life,Self-Acceptance,Resilience,Positive Emotion,Engagement,Relationships,Meaning,Accomplishment,Negative Emotion,PERMA Loneliness,Happiness (1 item),Health,Overall Well-Being
1,20,3,2,3,1,2,9,4,1,,5,2,5,English,2,1,6,5,4,2,6,6,5,6,3,2,6,5,3,7,5,3,3,5,7,4,6,2,7,3,5,3,2,2,6,5,6,5,3,7,6,5,5.333333333,3,5,5.666666667,3.833333333,4.833333333,7,7,6,7,7,7,7,6,7,7,7,7,6,7,6,7,7,7,6.666666667,6.666666667,7,6.666666667,6.666666667,7,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,121,11,11,10,3,10,11,11,11,11,11,2,11,10,2,11,4,11,11,11,10,10,11,10,10.33333333,11,10.66666667,10.66666667,10.66666667,3,2,10,11,10.625,3,1,1,1,4,4,1,1,4,4,2,1,1,1,4,4,2,2,4,4,49,9:40 PM,15,6:00pm,on average 8 hours per day according to my fitbit,2,5,4,1,4,,,5,3,5,3,5,6,5,6,5,2,6,6,2,6,4,2,3,3,7,6,5,3,5,2,5,3,3,2,5,6,5,5,4,3,5,5,4.833333333,2.5,4.833333333,4.833333333,4.333333333,4.666666667,5,5,6,3,5,3,6,5,6,6,6,6,5,6,3,3,7,6,5.333333333,4.666666667,6,3.666666667,6,5,4,4,4,4,3,4,4,3,4,2,4,5,3,4,4,4,4,4,5,4,5,4,4,4,5,99,8,7,7,7,9,5,8,5,9,8,8,4,6,6,10,5,10,5,7,8,7,7,5,6.666666667,8.333333333,6.333333333,8.333333333,9,6,8,5,4.666666667,7.5625,4,3,2,3,3,3,4,2,3,3,3,2,3,3,3,3,3,3,3,3,59,0,10 min,0.2916666667,7 hours,2,4,3,2,4,2,4,-0.5,-0.5,-0.1666666667,-0.8333333333,0.5,-0.1666666667,-1.333333333,-2,-1,-3,-0.6666666667,-2,-22,-3.666666667,-2.666666667,-4.333333333,-2.333333333,-1.666666667,3,6,-5,-6.333333333,-3.0625
2,20,3,2,3,2,"3,5",9,2,5,,8,1,4,English,5,3,7,5,6,2,7,5,6,6,6,4,7,5,2,7,6,4,5,6,4,5,7,2,6,5,6,6,2,4,7,6,7,5,6,6,6,6,5.333333333,3.666666667,5.666666667,6.333333333,5.5,5.5,7,7,7,7,7,6,2,5,7,7,7,7,7,6,6,5,7,7,6.666666667,6.333333333,6.666666667,6,5.333333333,7,5,5,5,5,5,5,4,5,4,5,5,5,3,5,4,4,5,5,5,5,5,4,5,5,5,118,11,8,9,3,10,9,9,11,11,9,1,8,10,3,11,3,8,9,10,11,10,10,10,9.666666667,8.333333333,10.33333333,10.33333333,10.66666667,3,1,10,8.666666667,9.875,4,2,1,2,4,4,2,3,3,4,3,2,3,2,4,3,3,2,4,4,59,10:30pm,20,6:50,8,1,4,4,1,1,,,7,4,6,2,7,5,6,7,7,6,7,5,2,7,6,6,5,7,5,5,6,2,7,6,5,7,4,7,4,7,7,4,7,6,7,6,5.333333333,4.833333333,5.666666667,6.166666667,6,6,7,7,6,6,6,7,6,5,6,7,7,7,6,7,7,7,7,7,7,5.666666667,7,6.666666667,6.333333333,6.666666667,4,5,5,4,5,4,4,5,5,3,4,5,3,5,4,4,5,5,5,5,5,3,5,5,5,112,11,8,10,7,11,9,11,10,11,11,1,8,10,2,11,3,5,9,11,11,11,11,10,10.33333333,8,10.66666667,11,11,4,1,10,8.666666667,10.1875,4,1,1,1,4,4,1,1,3,4,1,1,1,1,3,4,3,2,4,4,48,12AM,20 minutes,7AM,7,2,4,3,2,3,4,3,0,1.166666667,0,-0.1666666667,0.5,0.5,0.3333333333,-0.6666666667,0.3333333333,0.6666666667,1,-0.3333333333,-6,0.6666666667,-0.3333333333,0.3333333333,0.6666666667,0.3333333333,1,0,0,0,0.3125
3,21,4,2,3,2,3,9,1,2,,8,2,5,Turkish,5,3,4,4,6,3,7,3,4,4,7,4,6,3,3,7,7,6,4,6,4,5,6,5,6,5,4,4,3,3,4,4,6,6,6,5,6,4,4.166666667,4.333333333,5,5.5,5.833333333,4.166666667,6,6,4,2,7,3,7,5,3,7,7,6,5,5,2,7,6,7,5,3.333333333,6,5,6,6.333333333,4,4,4,4,3,4,1,2,1,4,3,5,4,3,2,3,4,4,5,2,2,3,2,4,3,80,7,7,8,9,6,7,6,9,9,9,6,4,7,4,6,6,6,8,11,5,7,7,6,7.333333333,7.333333333,9,6.666666667,6.333333333,6.333333333,6,6,6.333333333,7.25,3,3,3,3,3,3,1,2,2,4,3,2,2,3,4,4,4,4,3,3,59,12:00 AM,60,7:00 AM,6,2,4,3,2,4,,,4,3,6,3,7,4,4,5,6,5,6,5,2,7,7,5,3,5,5,3,7,5,5,5,3,4,3,5,4,4,6,4,6,4,6,6,4,4.5,4.333333333,5.166666667,5.833333333,4.833333333,6,5,7,3,6,6,7,4,6,6,6,6,7,6,3,6,6,5,4.666666667,4.333333333,6,6.333333333,6.666666667,5.666666667,4,5,4,3,4,3,3,2,3,3,4,5,2,5,3,3,4,5,5,4,4,2,2,4,5,91,8,8,7,10,8,9,9,9,9,7,6,10,7,5,9,6,10,9,10,7,9,6,8,6.666666667,8.333333333,9.333333333,8.333333333,8.333333333,7,6,8,9.333333333,8.1875,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,59,0.04166666667,10 minutes,0.25,5 hours,3,4,4,1,2,3,3,-0.1666666667,0.1666666667,-0.6666666667,-0.3333333333,0,0.6666666667,-0.3333333333,1,0,1.333333333,0.6666666667,-0.6666666667,11,-0.6666666667,1,0.3333333333,1.666666667,2,0.6666666667,0,2,3,0.9375
4,21,4,1,4,1,2,9,4,5,,8,9,1,Chinese,1,2,3,5,5,3,3,5,3,5,2,4,3,5,5,5,3,5,3,3,5,3,3,3,3,5,2,4,4,5,3,5,5,5,6,3,3,6,3.833333333,3.833333333,4.5,3,3.833333333,4.833333333,7,6,6,1,2,6,3,4,7,7,7,7,7,5,3,7,6,5,4.666666667,4,6.333333333,6.666666667,5.333333333,5,4,5,5,5,4,4,4,5,5,2,5,5,3,3,3,4,5,4,2,5,4,5,5,5,4,105,7,9,8,11,9,8,8,11,9,6,4,7,8,1,11,4,11,8,11,8,11,9,9,8.333333333,8.666666667,11,8.333333333,9,5.333333333,4,9,7.666666667,9.0625,4,2,2,2,4,4,2,3,4,4,3,3,2,2,4,4,4,2,4,4,63,11:30 AM,5,5:00 AM,5,2,4,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,2,2,3,2,3,"9,15",1,2,,1,"1,2",3,English,2,1,5,6,2,6,5,5,6,5,5,4,6,4,4,5,7,6,4,6,5,6,6,7,6,4,6,4,1,5,6,6,6,4,6,6,4,5,5.333333333,5.666666667,5,5.166666667,4.5,5,6,5,5,5,6,3,6,6,6,7,6,7,4,7,5,7,7,6,6,5.666666667,6.666666667,4.666666667,6,5.666666667,4,3,4,4,4,3,4,3,4,3,4,5,3,4,4,4,4,4,4,5,3,3,4,3,4,94,7,9,6,11,8,8,8,9,9,5,8,7,7,3,9,6,8,9,9,10,10,8,6,7,7.333333333,9.333333333,9,8,6.666666667,8,6,8,8,3,3,2,3,2,2,2,3,3,3,3,2,3,3,3,3,3,4,3,3,56,10:30,30,7:00,7,3,4,2,3,3,,,7,6,5,7,7,6,4,6,7,3,7,3,6,3,7,6,1,4,5,5,6,6,7,5,3,6,2,7,1,7,6,5,7,7,5,2,5.166666667,6,5.166666667,4.666666667,5.666666667,4.5,7,6,4,3,6,5,7,6,7,5,6,7,5,5,6,7,6,3,5,5.333333333,6,5.666666667,5.333333333,6.333333333,4,2,5,4,5,3,5,5,5,4,4,5,3,4,3,5,5,5,4,5,5,4,5,4,4,107,6,7,5,8,8,9,6,11,9,7,7,7,7,7,9,8,9,10,11,8,8,8,7,6.666666667,7.666666667,10,7.666666667,7.666666667,7.666666667,7,7,8.666666667,7.875,3,2,1,2,2,3,2,3,3,4,2,2,2,3,4,4,3,2,4,4,55,0.4375,20,0.25,7,3,4,3,2,5,4,3,-0.1666666667,0.3333333333,0.1666666667,-0.5,1.166666667,-0.5,-1,-0.3333333333,-0.6666666667,1,-0.6666666667,0.6666666667,13,-0.3333333333,0.3333333333,0.6666666667,-1.333333333,-0.3333333333,1,-1,1,0.6666666667,-0.125
6,21,4,2,1,2,3,9,3,2,,2,1,2,Spanish,1,1,5,3,6,5,7,3,7,5,7,7,6,5,3,7,7,5,2,5,5,2,7,5,6,3,5,5,5,5,7,5,6,3,6,5,7,6,5.166666667,5.333333333,4.166666667,5.833333333,6.333333333,4.5,7,7,1,1,3,2,5,7,7,7,7,7,6,6,4,4,7,3,4.666666667,5,6.666666667,4,4.333333333,5.666666667,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,3,5,5,120,11,11,11,11,11,11,11,3,11,11,1,1,11,1,11,8,11,11,5,11,8,11,10,11,11,5.333333333,11,11,6.666666667,1,10,7.666666667,9.875,4,3,3,4,2,4,4,4,4,3,3,3,4,4,3,3,4,4,2,3,68,11:00PM,Not long,7:20AM,Maybe like 6-7,2,4,4,4,5,,,6,3,6,2,7,5,7,5,7,6,7,5,1,7,5,5,3,5,5,3,7,7,7,3,4,4,2,5,7,5,6,6,5,6,7,6,4.833333333,5.166666667,4.666666667,6.333333333,5.333333333,4.833333333,6,6,6,2,6,3,5,6,6,2,6,6,6,6,5,6,6,6,5.666666667,4.666666667,6,5,4.333333333,6,4,4,4,4,4,2,4,5,3,2,4,5,2,4,2,4,4,4,3,4,4,4,4,4,5,93,8,9,9,8,8,9,9,8,10,8,4,7,8,2,9,4,10,7,9,9,8,9,10,8.666666667,9,8.333333333,9.333333333,8.333333333,4.666666667,4,10,7.666666667,8.8125,3,2,2,2,3,3,3,3,4,3,2,2,3,3,2,4,2,3,3,4,56,12am,1min ,8am,6 to 7 hours,3,4,4,1,5,2,3,-0.3333333333,-0.1666666667,0.5,0.5,-1,0.3333333333,1,-0.3333333333,-0.6666666667,1,0,0.3333333333,-27,-2.333333333,-2,3,-1.666666667,-2.666666667,-2,3,0,0,-1.0625
7,20,3,2,3,2,3,9,4,2,,3,4,3,English,1,3,5,3,6,6,5,5,6,5,6,5,6,6,2,5,7,4,5,6,6,6,5,4,6,6,6,3,5,5,6,6,5,5,6,6,5,6,5,5,4.5,5.5,5.833333333,5.833333333,5,5,6,4,3,6,7,5,5,7,7,6,5,6,5,3,6,5,5.333333333,4.666666667,6.333333333,4.666666667,6.666666667,4.333333333,4,4,4,3,4,3,3,3,3,2,4,4,2,3,3,4,4,4,4,3,3,3,4,3,4,85,7,7,8,9,7,7,8,8,8,8,8,5,7,5,9,5,6,5,7,9,8,7,8,7.333333333,7,7.666666667,8.333333333,7.666666667,6.333333333,8,8,5.666666667,7.625,3,3,3,3,4,3,3,4,4,3,3,2,3,3,3,2,3,4,3,2,61,1:00 AM,15,8:00 AM,186,3,5,3,2,4,,,7,6,6,7,7,6,6,6,6,6,7,7,1,6,7,6,5,7,6,7,7,6,7,7,6,5,6,4,6,7,7,6,7,6,6,7,5.5,5.833333333,6,6.333333333,6.5,6.833333333,7,7,2,6,7,6,6,6,6,7,7,7,7,7,6,7,7,7,6.666666667,6,7,6.666666667,5,7,4,5,5,5,5,5,5,5,4,2,4,5,2,5,4,5,4,5,4,4,5,2,4,4,4,106,11,9,9,8,10,9,10,10,11,10,6,10,10,6,11,5,9,9,11,10,11,11,9,10,9.333333333,10.66666667,10.33333333,10.66666667,6.333333333,6,9,9.333333333,10.125,4,3,2,2,4,3,1,1,4,4,2,1,2,2,4,3,2,2,4,4,54,10:30PM,90,730AM,7,2,4,4,1,2,4,3,0.5,0.8333333333,1.5,0.8333333333,0.6666666667,1,1.333333333,1.333333333,0.6666666667,2,-1.666666667,2.666666667,21,2.666666667,2.333333333,3,2,3,0,-2,1,3.666666667,2.5
8,18,1,2,3,2,3,9,4,3,,3,6,1,English,5,3,2,1,2,3,4,3,1,3,7,5,4,5,2,1,7,1,2,4,7,1,7,1,4,4,1,3,1,1,1,4,3,3,7,4,2,5,2.666666667,2.5,2,2.833333333,5.166666667,4.166666667,5,6,5,5,5,3,7,5,6,7,6,7,5,7,3,6,5,5,4.333333333,5.333333333,6.666666667,4.666666667,6.333333333,5.333333333,4,4,4,4,4,4,4,4,4,2,4,5,2,4,4,4,4,5,3,4,5,4,5,5,4,100,7,8,8,9,8,8,8,9,9,8,5,8,7,4,8,5,9,8,9,9,8,8,7,7.666666667,8.333333333,8.666666667,8.666666667,7.666666667,6,5,7,8,8.125,3,3,2,3,3,3,2,2,3,3,2,2,3,2,3,3,4,3,3,3,55,10:30 PM,20,7:00 AM,8-Jul,2,4,3,2,4,,,4,4,6,5,6,5,6,6,5,6,6,6,1,4,7,5,4,7,7,6,4,4,7,7,6,4,3,5,4,6,6,5,7,6,6,6,5,5.166666667,4.833333333,5.5,5.333333333,6.166666667,6,6,7,6,6,7,2,6,7,3,7,7,7,7,6,7,6,7,6.333333333,6.333333333,7,7,4,6,4,5,5,5,5,3,3,5,5,4,4,5,4,5,4,3,5,5,2,4,5,3,5,5,4,107,9,10,9,4,9,8,9,10,10,9,2,8,8,7,10,4,11,8,10,9,10,11,9,9.333333333,10,10,9.333333333,9.333333333,5,2,9,8,9.5625,4,1,1,1,4,4,2,2,4,3,1,2,2,1,4,4,3,2,4,4,53,0.9583333333,30 minutes,0.3055555556,7.5 hours,2,3,2,2,1,4,4,2.333333333,2.666666667,2.833333333,2.666666667,0.1666666667,2,2,1,0.3333333333,2.333333333,-2.333333333,0.6666666667,7,1.666666667,1.666666667,1.333333333,0.6666666667,1.666666667,-1,-3,2,0,1.4375
9,20,4,2,1,1,2,9,4,5,,3,4,3,English,4,2,6,4,7,6,7,6,7,6,7,6,7,7,1,7,7,6,7,7,1,7,7,6,7,7,7,6,7,7,7,7,7,5,7,6,7,6,4.833333333,6.166666667,5.833333333,7,7,6.666666667,5,5,3,5,5,5,3,4,6,4,4,5,2,3,2,4,4,6,4,5,4,3.666666667,3.333333333,5,5,4,3,4,3,3,3,3,2,4,4,5,3,2,4,2,2,4,1,5,5,4,3,3,2,83,6,6,7,5,7,5,5,7,6,4,7,8,8,4,5,5,7,5,5,8,8,6,8,7,5.666666667,6.666666667,6.333333333,6,4.666666667,7,8,6,6.4375,2,3,2,2,3,4,4,2,3,2,2,4,3,2,3,3,2,3,1,3,53,11:40 PMã€€,20 mins,6:30 AM,5:30 Hours,1,1,1,1,2,,,7,6,5,7,7,6,6,7,6,5,7,7,1,7,6,5,7,6,2,7,6,5,7,6,7,7,6,6,7,7,7,6,6,7,7,7,5,5.833333333,6.666666667,7,5.833333333,6.5,7,7,6,6,6,7,5,6,7,7,7,7,6,6,6,6,5,6,5.666666667,6.333333333,6.666666667,6.333333333,6,6.666666667,5,5,4,5,5,5,5,5,5,3,4,5,3,5,4,4,5,5,4,5,5,4,4,5,4,113,11,9,9,2,11,9,9,9,10,11,2,9,9,3,10,2,8,9,9,9,9,10,9,9.333333333,9.333333333,9,9.333333333,10.66666667,2.333333333,2,9,9,9.5,3,1,1,2,4,4,1,1,4,4,1,1,1,1,4,4,3,2,4,4,50,0,30,0.3333333333,7,1,5,4,3,1,3,3,0.1666666667,-0.3333333333,0.8333333333,0,-1.166666667,-0.1666666667,1.666666667,1.333333333,2.666666667,2.666666667,2.666666667,1.666666667,30,2.333333333,3.666666667,2.333333333,3,4.666666667,-2.333333333,-5,1,3,3.0625
10,21,4,2,5,2,3,9,6,1,,6,1,5,English ,1,3,7,7,7,6,7,7,6,7,7,6,7,5,1,7,7,6,7,7,7,7,7,6,7,4,6,7,7,6,7,6,7,7,7,7,7,7,5.666666667,6.166666667,7,7,7,6,7,7,6,1,5,1,1,7,5,2,7,7,7,7,3,6,7,7,5.666666667,4.333333333,7,4.666666667,3,6.333333333,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,125,6,6,10,6,5,10,10,10,8,9,8,11,10,4,6,5,11,10,9,7,11,9,10,9.666666667,8.666666667,10,8.333333333,5.666666667,5,8,10,10.33333333,8.5625,4,2,2,3,3,4,2,2,4,4,2,2,2,2,4,4,4,2,4,4,60,1:00AM,30 minutes ,7:00AM,4 hours ,4,3,5,2,1,,,6,4,6,6,7,6,6,5,7,6,7,5,2,7,7,6,7,5,7,6,7,7,7,5,6,7,5,7,7,6,6,6,6,7,7,4,5.5,6.5,5.833333333,7,6.333333333,5.166666667,7,6,7,2,7,3,3,6,6,6,7,7,7,7,2,5,3,3,2.666666667,4.666666667,7,5,5.333333333,6.666666667,4,5,5,5,5,2,3,5,5,3,5,5,3,5,4,4,4,4,5,5,5,5,5,5,5,111,8,10,9,8,9,11,10,6,11,10,3,10,11,3,8,4,10,11,9,11,9,6,8,8.666666667,10,8,10.66666667,8.333333333,5,3,8,10.66666667,9.0625,4,2,2,3,3,3,2,2,4,3,3,2,2,3,4,3,2,3,3,3,56,1AM,20 minutes,7AM,6,2,5,5,2,4,4,3,-0.1666666667,0.3333333333,-1.166666667,0,-0.6666666667,-0.8333333333,-3,0.3333333333,0,0.3333333333,2.333333333,0.3333333333,-14,-1,1.333333333,-2,2.333333333,2.666666667,0,-5,-2,0.3333333333,0.5
