Complete?,Participant_ID,Demographics_age,Demographics_class,Demographics_enroll,Demographics_college,Demographics_sex,Demographics_gender,Demographics_sexual,Demographics_ethnic,Demographics_polit,Demographics_policli,Demographics_lean,Demographics_relig,Demographics_rlgsty,Demographics_lang,Demographics_commute,Demographics_work,Psychological_Wellness,Physical_Wellness,Emotional_Wellness,Spiritual_Wellness,Social_Wellness,Intellectual_Wellness,Psychological Wellness,Physical Wellness,Emotional Wellness,Spiritual Wellness,Social Wellness,Intellectual Wellness,Total_Psych_Wellbeing,Total_Physical_Wellbeing,Total_Emot_Wellbeing,Total_Spirit_Wellbeing,Total_Social_Wellbeing,Total_Int_Wellbeing,Complete?
1,760,21,4,,,2,3,,1,2,,,6,,English ,,,3.166666667,5.333333333,3.833333333,3.833333333,5.333333333,5.333333333,,,,,,,3.166666667,5.333333333,3.833333333,3.833333333,5.333333333,5.333333333,1
0,823,21,4,,,2,3,,4,2,,,4,,Marathi and English (at the same time),,,,,,,,,,,,,,,,,,,,,0
0,987,21,4,,,2,3,,4,2,,,6,,English,,,,,,,,,,,,,,,,,,,,,0
1,1064,19,2,,,2,3,,1,2,,,1,,English,,,4,3.833333333,4,3.666666667,3.333333333,4.833333333,,,,,,,4,3.833333333,4,3.666666667,3.333333333,4.833333333,1
0,1289,22,4,,,2,3,,1,2,,,1,,English,,,,,,,,,,,,,,,,,,,,,0
0,1520,19,2,,,1,2,,1,2,,,6,,English,,,4.5,5,4.333333333,4.166666667,4.333333333,4.833333333,,,,,,,4.5,5,4.333333333,4.166666667,4.333333333,4.833333333,0
1,1672,21,4,,,2,3,,2,2,,,1,,English,,,5.5,5.166666667,5.166666667,5.333333333,5.333333333,4.666666667,,,,,,,5.5,5.166666667,5.166666667,5.333333333,5.333333333,4.666666667,1
1,1946,21,3,,,2,3,,1,2,,,1,,english,,,5,4.333333333,4.5,5.333333333,5.166666667,5.666666667,,,,,,,5,4.333333333,4.5,5.333333333,5.166666667,5.666666667,1
1,1976,21,4,,,2,3,,1,5,,,1,,English,,,4.333333333,2.166666667,3,4.5,3.333333333,4,,,,,,,4.333333333,2.166666667,3,4.5,3.333333333,4,1
1,2128,19,2,,,2,3,,7,5,,,1,,English ,,,4.5,4.5,4.166666667,4.666666667,4.166666667,3.666666667,,,,,,,4.5,4.5,4.166666667,4.666666667,4.166666667,3.666666667,1
1,2280,20,3,,,2,3,,1,5,,,6,,English,,,4.5,4.833333333,4.5,4.166666667,4.833333333,4.666666667,,,,,,,4.5,4.833333333,4.5,4.166666667,4.833333333,4.666666667,1
1,2432,21,3,,,2,3,,1,2,,,6,,English,,,3.833333333,4,3.166666667,3.833333333,5.166666667,4.333333333,,,,,,,3.833333333,4,3.166666667,3.833333333,5.166666667,4.333333333,1
1,2741,20,4,,,2,3,,4,2,,,4,,English,,,2.166666667,4.166666667,3.166666667,3.166666667,3.666666667,3.5,,,,,,,2.166666667,4.166666667,3.166666667,3.166666667,3.666666667,3.5,1
1,2888,21,3,,,2,3,,1,2,,,6,,English ,,,3.5,4.5,2.5,3.333333333,4.333333333,3.333333333,,,,,,,3.5,4.5,2.5,3.333333333,4.333333333,3.333333333,1
1,2897,20,4,,,2,3,,1,4,,,1,,English,,,3.5,4,3.5,5.166666667,4.666666667,5.166666667,,,,,,,3.5,4,3.5,5.166666667,4.666666667,5.166666667,1
1,3424,22,4,,,2,3,,1,2,,,2,,Turkish,,,5,5.166666667,5.166666667,5,3.833333333,3.666666667,,,,,,,5,5.166666667,5.166666667,5,3.833333333,3.666666667,1
1,3800,20,3,,,2,3,,1,1,,,1,,English ,,,3.166666667,4.333333333,2,3.666666667,4.833333333,4.333333333,,,,,,,3.166666667,4.333333333,2,3.666666667,4.833333333,4.333333333,1
1,3840,19,3,,,2,3,,2,2,,,2,,French,,,5.166666667,5.166666667,5,5.666666667,4.333333333,4.333333333,,,,,,,5.166666667,5.166666667,5,5.666666667,4.333333333,4.333333333,1
1,3952,20,3,,,2,3,,4,1,,,1,,english,,,4,4.833333333,3.333333333,4.333333333,4.833333333,5.166666667,,,,,,,4,4.833333333,3.333333333,4.333333333,4.833333333,5.166666667,1
1,4104,20,3,,,2,3,,3,2,,,1,,Spanish,,,4,4.5,4.5,4.833333333,3.5,4.166666667,,,,,,,4,4.5,4.5,4.833333333,3.5,4.166666667,1
0,4560,20,3,,,2,3,,2,2,,,1,,English,,,5.333333333,4,3.833333333,5.333333333,4.166666667,4.166666667,,,,,,,5.333333333,4,3.833333333,5.333333333,4.166666667,4.166666667,0
1,4712,21,4,,,2,3,,8,5,,,2,,Arabic,,,3.833333333,2.5,3.166666667,4.5,4.166666667,4.166666667,,,,,,,3.833333333,2.5,3.166666667,4.5,4.166666667,4.166666667,1
0,4712*,20,3,,,2,3,,2,2,,,1,,English ,,,,,,,,,,,,,,,,,,,,,0
0,2229,20,3,,,2,3,,2,2,,,6,,English ,,,5.833333333,6,5.5,5.833333333,5.333333333,5.5,,,,,,,5.833333333,6,5.5,5.833333333,5.333333333,5.5,0
1,5320,22,4,,,1,2,,4,4,,,6,,English,,,3.833333333,4,3.5,3.833333333,4.333333333,5.333333333,,,,,,,3.833333333,4,3.5,3.833333333,4.333333333,5.333333333,1
1,5472,18,1,,,2,3,,10,4,,,6,,English,,,3.5,1,3.5,4.333333333,4.166666667,3.833333333,,,,,,,3.5,1,3.5,4.333333333,4.166666667,3.833333333,1
1,5624,19,2,,,2,3,,1,4,,,6,,English,,,2.833333333,3.5,2.666666667,4,4,4.5,,,,,,,2.833333333,3.5,2.666666667,4,4,4.5,1
0,5928,21,4,,,2,3,,1,2,,,1,,English ,,,3.666666667,2.333333333,4.333333333,5,4.833333333,4.833333333,,,,,,,3.666666667,2.333333333,4.333333333,5,4.833333333,4.833333333,0
1,6080,21,4,,,2,3,,1,4,,,6,,english,,,3.666666667,3.166666667,4.333333333,4.666666667,2.833333333,2.166666667,,,,,,,3.666666667,3.166666667,4.333333333,4.666666667,2.833333333,2.166666667,1
1,6187,22,4,,,1,2,,1,3,,,6,,English,,,4.833333333,3.666666667,4.833333333,4.666666667,3.666666667,5.166666667,,,,,,,4.833333333,3.666666667,4.833333333,4.666666667,3.666666667,5.166666667,1
0,6384,20,3,,,2,3,,1,1,,,1,,English,,,4.666666667,5,3,5,5,4.666666667,,,,,,,4.666666667,5,3,5,5,4.666666667,0
1,6536,21,4,,,2,3,,1,2,,,6,,English,,,5.166666667,5.166666667,4.333333333,4,5.333333333,4.833333333,,,,,,,5.166666667,5.166666667,4.333333333,4,5.333333333,4.833333333,1
1,6688,21,4,,,2,3,,1,4,,,1,,English,,,5.333333333,4.833333333,4.5,6,5.833333333,5,,,,,,,5.333333333,4.833333333,4.5,6,5.833333333,5,1
1,7448,21,4,,,1,2,,4,2,,,4,,English,,,5.166666667,6,5.333333333,5.166666667,5.166666667,5.333333333,,,,,,,5.166666667,6,5.333333333,5.166666667,5.166666667,5.333333333,1
1,7752,20,3,,,2,3,,1,2,,,6,,English,,,4.166666667,3.833333333,4.166666667,5.166666667,5.5,4.833333333,,,,,,,4.166666667,3.833333333,4.166666667,5.166666667,5.5,4.833333333,1
1,8208,21,4,,,2,3,,7,2,,,6,,English,,,4.166666667,5.5,3.333333333,4.333333333,4.833333333,3.333333333,,,,,,,4.166666667,5.5,3.333333333,4.333333333,4.833333333,3.333333333,1
1,8512,21,4,,,2,3,,1,2,,,3,,English,,,5.5,4.5,4.166666667,5.833333333,3.666666667,5.833333333,,,,,,,5.5,4.5,4.166666667,5.833333333,3.666666667,5.833333333,1
1,8664,21,4,,,1,2,,2,2,,,6,,English,,,4.333333333,4.833333333,4.5,3.666666667,3,4.333333333,,,,,,,4.333333333,4.833333333,4.5,3.666666667,3,4.333333333,1
1,8775,21,4,,,2,3,,1,1,,,1,,English,,,4.833333333,4.833333333,4.166666667,5.166666667,5.166666667,5.5,,,,,,,4.833333333,4.833333333,4.166666667,5.166666667,5.166666667,5.5,1
1,8816,20,3,,,2,3,,1,2,,,6,,English ,,,4.166666667,3.166666667,3.5,3.333333333,3.666666667,4,,,,,,,4.166666667,3.166666667,3.5,3.333333333,3.666666667,4,1
1,8968,20,3,,,2,3,,2,4,,,6,,English,,,4.833333333,3.833333333,5.166666667,6,5.333333333,5.666666667,,,,,,,4.833333333,3.833333333,5.166666667,6,5.333333333,5.666666667,1
1,9120,21,4,,,2,3,,1,2,,,6,,english ,,,5.666666667,4.666666667,5.5,5.5,4.5,5,,,,,,,5.666666667,4.666666667,5.5,5.5,4.5,5,1
